checkname,school,hospital,park,retail
大岭村委会,0,2,0,0
小沙村委会,1,1,0,0
上村村委会,2,0,0,1
新口村委会,2,2,0,4
新口村委会,2,2,0,4
草坂村委会,3,2,2,3
阳星村委会,4,0,0,1
三社村委会,4,0,1,0
陈井村委会,4,0,1,0
仑上村委会,4,0,1,0
仙景村委会,6,1,0,5
桥内村委会,7,7,3,11
南溪村委会,8,1,1,2
新村村委会,9,2,0,4
金建村委会,11,1,2,9
文卿村委会,11,2,1,15
谢洋村委会,12,4,1,10
谢洋村委会,12,4,1,10
尤俊村委会,13,2,1,6
石洪村委会,14,1,1,9
兰田村委会,14,1,1,9
林前村委会,14,1,5,5
灶坑村委会,14,2,1,5
新楼村委会,14,3,1,7
高阳村委会,14,6,0,20
东山村委会,15,7,0,12
林内村委会,17,1,0,8
利角村委会,17,1,0,8
东埭村委会,17,1,0,8
华堤村委会,17,1,0,8
西洪村委会,17,1,0,8
下坂村委会,17,1,0,8
锦墩村委会,17,1,0,8
洋坂村委会,17,1,0,9
蒲山村委会,17,1,0,9
鹤厅村委会,18,1,1,9
兰田村委会,18,1,4,8
灶美村委会,18,2,1,7
翰卿村委会,18,2,1,7
炉中村委会,18,4,1,9
西南门村委会,18,4,1,26
温山村委会,18,6,2,9
西坪村委会,19,2,0,5
湖中村委会,20,3,0,12
湖中村委会,20,3,0,12
贵安村委会,20,4,5,11
溪北村委会,21,3,3,8
塘边村委会,21,5,1,12
乌石村委会,22,0,0,18
钟峰村委会,22,0,0,20
霞溪村委会,23,0,0,18
培斜村委会,23,5,0,19
培斜村委会,23,5,0,19
红旗村委会,24,2,2,20
罗溪村委会,25,8,1,16
武盛村委会,26,3,1,46
邹塘村委会,26,4,2,20
颜厝村委会,26,5,0,6
李庄村委会,26,5,0,6
山岑村委会,28,0,2,50
后江村委会,30,0,1,9
南金村委会,31,3,1,36
溪东村委会,31,6,2,23
瑶峰村委会,31,8,1,41
光明村委会,32,5,13,17
温东村委会,33,3,0,21
省身村委会,33,5,1,49
昙石村委会,33,8,1,44
樟桥村委会,35,5,0,24
蒲坂村委会,35,5,0,24
菊江村委会,35,6,3,43
恒美村委会,37,18,1,46
霞山村委会,39,7,1,41
素雅村委会,40,8,1,50
丁墘村委会,40,13,4,72
先锋村委会,41,2,3,66
太湖村委会,41,3,0,41
可慕村委会,41,11,6,45
可慕村委会,41,11,6,46
莲兜美村委会,42,20,2,55
青山村委会,43,6,1,54
锦山村委会,45,9,1,53
白埕村委会,45,11,1,74
张边村委会,45,11,1,75
长福村委会,45,15,6,34
埔柳村委会,46,2,4,21
霞溪村委会,46,6,0,62
