checkname,school,hospital,park,retail
杨桥村委会,3,0,0,1
细吴社区居民委员会,3,1,0,0
细吴社区居民委员会,3,1,0,0
双龙村民委员会,5,1,0,1
榆树庄村民委员会,5,1,0,5
田庄村委会,7,1,0,3
魏营村民委员会,7,2,0,2
石门村村民委员会,7,2,0,2
西街村委会,7,2,0,5
尚庄村委会,8,1,0,6
王营村委会,9,3,0,13
东庄村村民委员会,9,8,0,13
贾庄村民委员会,10,2,0,5
霍庄村委会,10,3,1,15
孟庄村民委员会,12,1,0,13
桥西村民委员会,12,4,0,0
西寨村村民委员会,13,1,0,6
牛集村委会,13,2,0,21
刘寨村委会,13,3,0,39
小裴城村村民委员会,13,7,0,14
曹店村村民委员会,14,1,0,13
土桥村村民委员会,14,2,0,21
大力集村委会,14,4,0,16
向寨村民委员会,16,3,0,6
后林村民委员会,16,5,0,17
东地村村民委员会,17,1,0,5
桑寨村村民委员会,17,7,0,5
马渡村委会,19,5,1,28
河门头村民委员会,19,6,0,13
靳庄村村民委员会,19,6,0,23
块村营村委会,19,6,12,63
三丁村村民委员会,19,8,0,15
刘孟村村民委员会,20,4,0,10
新村村委会,21,4,1,21
新村村委会,21,4,1,22
后堤村村民委员会,22,3,0,14
潘付刘村村民委员会,22,4,0,17
烟涧村村民委员会,22,4,1,26
罗营村民委员会,23,8,0,16
南石山村村民委员会,24,2,2,14
刘埠口村委会,24,9,2,24
双庙李村委会,25,3,2,17
老冀庄村委会,25,3,2,17
孙营西村委会,25,9,2,24
南孙庄村委会,25,9,2,25
西村村民委员会,26,2,5,10
韩庄村委会,26,3,2,17
和尚杨村委会,26,3,2,17
大孟村委会,26,8,2,17
塔西社区居民委员会,27,7,2,44
堡上村民委员会,29,2,2,15
营盘村委会,30,7,0,33
四联村村民委员会,30,9,0,25
郭店村委会,31,1,0,22
张辛店村委会,31,3,0,19
长店村村民委员会,32,9,0,27
袁庄村民委员会,33,5,0,22
牟家村民委员会,33,5,0,22
郭草滩村民委员会,33,5,0,22
后河村社区居委会,34,6,2,28
刘士华村委会,36,6,2,33
王买村委会,36,8,2,31
平乐社区居民委员会,38,5,1,26
尚庄村村民委员会,39,12,2,45
张武店村民委员会,42,7,5,31
毛寨村委会,43,4,6,40
桑坡村村民委员会,45,5,0,29
八里桥村民委员会,45,10,0,17
桥北村民委员会,46,14,0,21
八堡村民委员会,48,4,1,75
花园口村民委员会,48,4,1,75
樱桃沟社区居民管理委员会,51,13,1,47
朝阳村委会,54,4,1,54
东山头村村民委员会,56,8,1,52
黄龙岗社区居民管理委员会,59,15,0,48
段先屯村民委员会,63,14,0,60
石佛寺村民委员会,65,13,4,42
老毕庄村民委员会,65,13,4,42
贺庄村民委员会,67,14,4,43
宗村村民委员会,68,2,0,35
杨庄村民委员会,71,16,1,57
于寨村委会,77,9,4,103
岗李村委会,78,5,2,45
于寨村委会,78,9,4,105
柏树刘社区居委会,78,14,1,114
达士营村民委员会,78,14,5,43
花园口村民委员会,79,12,9,89
柏树刘社区居委会,79,14,1,116
杨庄村民委员会,80,12,9,90
李营村民委员会,80,17,4,53
梅山村委会,84,15,1,115
梅山村委会,84,15,1,116
兴国寺村民委员会,85,17,4,52
北云门村民委员会,104,14,1,50
马屯村村民委员会,150,23,74,135
郭店村委会,150,35,3,131
霍庄村委会,152,35,3,127
白塔村民委员会,158,30,8,84
何营村委会,168,42,0,184
丰乐里村民委员会,181,18,12,100
古城村委会,182,18,1,162
古城村委会,184,18,1,159
新建村村民委员会,194,31,6,101
侯庄村委会,196,20,12,151
把里村民委员会,200,36,8,157
东梁所村民委员会,204,37,3,119
侯庄村委会,206,20,12,151
郭庄村委会,209,30,6,168
三十里铺村委会,211,16,13,106
西梁所村民委员会,235,47,63,255
东徐村委会,252,12,3,192
上作村村民委员会,252,38,6,115
东徐村委会,255,12,3,189
李村村民委员会,260,32,9,154
何王庄村村民委员会,276,25,13,245
桥东村民委员会,278,40,1,164
孙白社村民委员会,299,44,6,210
宋庄村村民委员会,315,72,10,258
山西乔村委会,344,28,1,270
山西乔村委会,347,28,1,260
东寨村村民委员会,359,45,10,156
八堡村民委员会,365,19,10,523
荆垌社区居委会,394,29,6,238
荆垌社区居委会,395,29,6,229
李克寨村委会,406,54,8,176
王许村委会,411,27,5,251
王许村委会,413,27,5,254
小马庄村委会,517,31,5,339
小马庄村委会,535,31,5,352
杲村村委会,593,29,8,257
高皇寨村委会,619,32,16,294
百炉屯村委会,665,56,36,271
琉璃寺村委会,719,38,8,305
八里营村民委员会,740,110,14,340
红旗村民委员会,751,56,13,312
申庄村委会,818,119,15,365
南街村村民委员会,868,173,18,671
北街村村民委员会,868,173,18,692
洪门社区居民委员会,1295,172,36,526
小刘村村委会,1500,234,34,894
