checkname,school,hospital,park,retail
嵇东村委会,3,5,0,1
靖安村村委会,4,1,0,5
草舍村委会,5,2,0,7
广山村委会,5,3,0,11
葛庄村委会,6,4,0,5
白湖村委会,6,4,0,10
陈平楼村委会,6,6,0,4
陈老庄村委会,6,7,0,4
唐刘村委会,7,1,0,9
葛村村委会,7,2,0,15
大兴庄村委会,7,3,0,5
陆巷居委会,7,5,1,47
福山村委会,7,7,1,27
智林村委会,7,8,1,37
王庄村委会,8,4,0,16
王圩村委会,8,4,1,9
岳庄村委会,8,6,0,17
刘纪村委会,8,6,0,28
北芹村委会,9,3,1,10
王门村委会,9,5,0,8
伏东村村民委员会,9,6,0,21
徐厂村委会,9,7,0,18
蔡吴村委会,9,8,0,29
车渡村委会,10,2,5,14
外沙村村委会,10,3,2,7
中桥村村委会,10,4,2,20
消泾村委会,10,5,0,16
东安村委会,10,5,0,22
关口村委会,10,5,3,26
杨圩社区居委会,10,6,0,4
龙河村委会,10,10,0,14
林庄村委会,10,10,0,23
雅鹿村委会,10,13,1,31
新龙村委会,11,6,0,6
窑镇村委会,11,8,0,34
李圩村委会,11,10,0,15
李圩村委会,11,10,0,16
西榴村委会,12,4,0,21
牌楼社区居委会,12,7,7,42
蒋庄村委会,12,8,0,26
朱集社区居委会,12,9,1,20
前营村委会,12,10,0,10
大河村委会,12,13,2,45
花园村村委会,13,3,2,16
古井村委会,13,6,0,17
东大居委会,13,6,0,18
吴桥社区居委会,13,9,0,23
任阳社区居委会,13,9,0,25
北河村委会,13,10,1,4
陆园村委会,13,11,2,64
福寿村委会,13,12,1,37
东南村委会,14,4,0,17
三里村委会,14,5,0,29
秦潭村委会,14,5,2,27
龙奔村委会,14,5,3,35
常昆村委会,14,8,2,45
新鑫村委会,14,11,1,43
珍门社区居委会,14,14,1,33
新圩居委会,15,1,0,26
新圩居委会,15,1,0,26
欧家村委会,15,3,2,26
任庄村委会,15,4,1,17
宋口村委会,15,4,1,17
薛埠村委会,15,4,1,18
双虹桥村委会,15,6,0,24
新坝村委会,15,7,0,37
龙山社区居委会,15,8,0,24
梨园村委会,15,9,0,19
昆承湖村委会,15,9,3,57
仝圩村委会,15,10,0,25
南兴村委会,15,10,0,33
岳王社区居委会,15,10,7,41
凌东村委会,15,13,0,16
朱开村委会,15,13,0,16
陈家村委会,15,13,3,42
新裕村委会,15,14,10,45
四方桥村委会,16,2,0,39
南芹村委会,16,4,1,19
胜利村委会,16,5,0,13
五星村委会,16,8,0,41
毛集村委会,16,8,1,16
银河村委会,16,8,1,34
古山河居委会,16,9,0,30
新建村委会,16,10,7,47
魏村社区居委会,16,11,3,41
通海村委会,16,14,0,39
东旺村委会,16,17,10,38
古井街道居委会,17,4,6,23
余圩村委会,17,9,0,29
腰圩村委会,17,9,0,29
沙庄村委会,17,9,0,32
龙潭村村委会,17,9,1,37
马厂村委会,17,9,3,22
中泾村委会,17,11,1,49
新巷村委会,17,11,11,46
九城村委会,17,12,0,22
马陵居委会,17,12,2,33
孙庙村委会,17,13,0,23
罗墩村委会,17,13,4,68
七井社区居委会,17,20,0,20
青春社区居委会,17,20,0,23
新泾村委会,18,3,6,21
伊东村委会,18,4,2,21
朱庙村委会,18,7,0,33
凌闸村委会,18,10,4,24
夏桥村委会,18,11,3,25
夏桥村委会,18,11,3,25
魏村社区居委会,18,11,3,41
顾庄村委会,18,12,0,18
横塘村委会,19,5,2,40
徐庄村委会,19,7,0,21
鸡宝村委会,19,7,0,29
徐庄村委会,19,9,1,21
庄河村委会,19,10,4,27
王集村委会,19,10,4,28
官杨社区居委会,19,11,0,19
王林社区居委会,19,11,0,25
陈楼村委会,19,12,0,35
枫塘村委会,20,6,1,26
桃园村村委会,20,6,2,24
九段村委会,20,7,0,27
大顾村委会,20,8,0,23
胡巷村委会,20,11,0,21
刘圩社区居委会,20,11,0,23
王庄村委会,20,11,0,28
王楼村委会,20,11,0,38
吉桥村委会,20,14,9,46
陆庄村委会,20,15,0,26
清水村委会,20,17,1,44
常兴村委会,20,17,10,66
街集村委会,21,9,0,26
街集村委会,21,9,0,27
罗圩居委会,21,10,1,46
四都村委会,21,10,2,43
前八段村委会,21,13,1,24
土山村委会,21,15,0,28
山后村委会,22,4,0,31
和平花园社区居委会,22,6,13,33
张刘村委会,22,8,0,35
棋杆村委会,22,10,0,26
新北居委会,22,10,0,28
培德村委会,22,13,0,54
后八段村委会,22,13,1,24
大庄村委会,22,15,0,41
向阳村委会,22,17,1,45
清水村委会,22,17,1,45
小街村委会,23,1,0,11
长塘村委会,23,10,1,39
大南庄村委会,23,10,1,59
石墩村委会,23,12,0,25
东朱村委会,23,12,2,20
魏楼村委会,24,4,0,22
魏集村委会,24,4,0,24
张埝村委会,24,7,0,54
新村村委会,24,8,0,39
季庄村委会,24,9,0,25
姚洼村委会,24,10,0,27
新北居委会,24,10,0,28
常台村委会,24,10,0,28
张皮村委会,24,10,0,33
前刘村委会,24,10,0,33
苏河村委会,24,10,0,34
王术村委会,24,10,0,34
张宋村委会,24,12,0,32
安庆村委会,24,12,1,50
练塘社区居委会,24,13,11,61
后刘村委会,24,18,1,48
金塘村委会,24,18,1,50
大桥村委会,25,9,2,18
永联村委会,25,12,1,50
大李村委会,25,13,0,37
华莺村委会,25,13,3,62
长桥村委会,25,14,1,42
三星村委会,25,18,7,49
张桥社区居委会,25,18,11,46
苏塘社区居委会,26,8,0,26
里沙村委会,26,8,1,55
黄墟村委会,26,9,1,40
仝海村委会,26,11,0,31
吕北村委会,26,13,1,27
长山村委会,26,15,0,52
德积村委会,26,15,0,53
兴国村委会,26,16,2,95
莫厘村委会,27,5,4,29
十图村委会,27,6,5,48
圩塘社区居委会,27,7,0,56
李巷村委会,27,11,2,57
东倪村委会,28,9,0,37
永丰村委会,28,9,3,34
迎湖村委会,28,9,13,55
西宁村委会,28,11,0,43
杜沈村委会,28,13,0,43
方庄村委会,28,13,0,45
长瑞村委会,28,13,5,62
启江村委会,29,4,1,23
圩塘社区居委会,29,7,0,57
桃东村委会,29,7,1,34
正仪村委会,29,12,19,46
刘祠村委会,29,13,0,24
集东居委会,29,13,0,47
杨瓦村委会,29,13,1,52
丁陈村委会,29,13,1,52
蒋巷镇村委会,29,13,53,58
三丁村委会,29,15,1,65
杨园社区居委会,29,17,5,51
赵家村委会,29,22,0,54
渡口村委会,30,6,4,33
新段居委会,30,8,0,30
刘圩村委会,30,8,1,61
徐洼村委会,30,8,3,48
沙祠村委会,30,11,0,30
沧州村委会,30,11,2,66
张港泾村委会,30,11,8,67
正仪村委会,30,12,19,46
新楼村委会,30,14,0,44
湖鹤村委会,30,14,3,70
姚绳村委会,30,16,0,36
高长村委会,30,16,9,97
顾庄村委会,31,7,1,38
新段居委会,31,8,0,31
宅基村委会,31,8,16,55
商郝村委会,31,10,0,39
城里村委会,31,10,0,55
漕湖村委会,31,15,14,61
天汾镇村委会,31,19,2,54
港南村委会,31,24,6,57
史店村委会,32,9,3,28
圣牛村委会,32,11,1,80
花园村委会,32,13,1,51
戴溇村委会,32,13,9,55
甘露居委会,32,18,4,47
城北社区居委会,33,4,0,29
湖滨居委会,33,6,81,34
一里王村委会,33,8,0,45
李寨村委会,33,9,0,33
蚕桑村委会,33,12,0,49
凌城社区居委会,33,13,0,50
洛涧村村民委员会,33,15,7,75
沙圩社区居委会,33,16,4,88
长丰村委会,33,27,6,59
墩后村委会,34,4,0,31
桃北村委会,34,8,0,36
青南村委会,34,9,0,33
赵市村委会,34,20,7,61
叶家港村委会,35,11,1,88
王庄社区居委会,35,15,2,66
车路坝村委会,35,15,3,66
倪庄社区居委会,35,16,0,34
灵峰村委会,35,17,5,67
朝东圩港村委会,35,27,6,61
双湾村委会,36,13,2,94
大家港村委会,36,13,2,94
石桥村委会,36,13,6,102
三义村委会,36,14,1,96
直塘社区居委会,36,15,1,66
高作社区,36,23,0,54
大同村委会,37,12,4,106
梁集社区居委会,37,18,0,31
岸山村委会,38,6,8,64
川南村委会,38,11,1,87
商湖村委会,38,19,1,72
南村坝村委会,38,21,4,74
柳园村委会,39,10,0,32
胜利村委会,39,11,3,76
庄楼社区居委会,39,13,0,41
龙降桥村委会,39,20,4,73
竹园村委会,40,12,0,54
肖桥村委会,40,13,0,48
新州村委会,40,15,3,79
夏庙村委会,40,16,0,39
张家港村委会,41,23,3,64
山前村委会,42,7,0,38
姜灶社区居委会,42,13,0,141
曹庄社区居委会,42,15,0,27
厍港村委会,42,16,1,82
恬庄村委会,42,22,3,124
清水村委会,42,22,3,128
新华居委会,43,12,4,95
半泾村委会,43,13,3,82
夏圩村委会,43,19,1,71
农联村委会,43,23,3,63
界东社区居委会,44,11,1,119
红卫村委会,44,13,3,94
洪泾村委会,44,14,3,85
红星居委会,44,17,2,80
高南社区居委会,44,22,0,58
海前村委会,45,11,2,68
湖稍村委会,45,14,4,95
黄土塘村委会,45,16,9,79
郑庄村委会,46,8,0,55
耿车居委会,46,11,3,119
海后村委会,46,13,1,64
利泰社区居委会,46,14,3,83
沙集社区居委会,46,17,4,98
河东村委会,47,8,0,54
五星村委会,47,14,4,107
大众村委会,47,16,4,95
朝东圩港村委会,47,25,2,80
聚沙村委会,47,25,9,84
中鲈村委会,49,14,8,52
姚湾村委会,49,22,4,71
莲港村委会,50,14,6,68
斜桥村委会,50,15,2,56
琴东村委会,50,16,10,116
山联村委会,50,19,5,86
永联村委会,50,25,2,80
新厍村委会,51,8,14,110
查林村村民委员会,51,9,7,73
洋渚村村民委员会,51,17,1,55
石浦村委会,52,7,69,46
石浦村委会,52,7,69,47
史堡村委会,52,9,0,75
新湖村委会,52,14,6,87
