checkname,school,hospital,park,retail
西水磨村委会,0,0,0,3
八里屯村委会,0,1,0,0
枣行村民委员会,1,0,1,0
遇家村委会,1,1,0,1
马家村委会,2,0,0,2
杜村社区居民委员会,2,0,0,3
孙庄村委会,4,2,0,0
常庙北街村委会,4,2,0,0
丁张庄村委会,4,2,0,0
常庙北街村委会,4,2,0,0
郭洼村委会,4,2,0,0
孙庄村委会,4,2,0,0
宋楼村委会,4,2,0,2
林后村民委员会,5,2,0,2
林后村民委员会,5,2,0,2
任庄村民委员会,5,2,0,2
张家村委会,5,2,0,3
清明寺村委会,5,2,0,15
夏庄村民委员会,5,3,0,9
夏庄村民委员会,5,3,0,9
李庄村民委员会,5,3,0,9
李龙吴村委会,6,1,0,6
南肖家村委会,6,1,0,7
吕匣村村委会,6,1,2,7
黄楼村民委员会,6,2,0,12
黄楼村民委员会,6,2,0,12
孔河涯村委会,6,4,0,9
权楼村民委员会,6,5,0,7
张佩环村委会,7,0,0,6
南北李村委会,7,0,0,6
箕子山村村委会,7,1,0,5
万福集村委会,7,2,0,9
南陈家村委会,7,4,0,4
姚楼村民委员会,7,4,0,7
徐寨村民委员会,7,5,0,13
长宋村委会,7,9,1,22
西翟村委会,7,9,1,22
华李社区村民委员会,8,0,0,6
曲张社区村民委员会,8,0,0,6
南吴村委会,8,0,0,11
前花园村民委员会,8,1,0,5
后洪庙村委会,8,1,0,5
东黄海村民委员会,8,1,0,6
新村村委会,8,1,0,10
付家村委会,8,1,0,14
田海村委会,8,3,0,4
东赵庄村委会,8,3,0,4
姜樊村村民委员会,8,4,0,9
坝头寺村民委员会,8,5,0,6
谭楼村委会,8,5,0,10
胡楼村委会,8,5,0,10
城后村委会,8,5,0,55
薛庄社区村民委员会,9,0,6,13
李胡同村委会,9,1,0,7
侯楼村委会,9,1,0,7
花园村委会,9,2,1,13
前常二庄村委会,9,3,0,21
田庄村委会,9,5,1,5
李龙吴村委会,10,0,0,6
归仁村委会,10,0,0,7
大集北街村民委员会,10,1,0,7
花园村委会,10,2,1,14
高屯村委会,10,3,0,5
陈良村委会,10,3,0,10
后辛庄村委会,10,3,0,20
北盐厂村委会,10,3,0,20
田庙村民委员会,10,4,0,4
田寺村委会,10,4,0,4
李家庵村委会,10,5,0,18
崔寨社区村民委员会,10,7,2,9
王集社区村民委员会,10,7,2,11
王庄村委会,11,0,0,8
河南村村民委员会,11,0,2,13
后村农村社区村委会,11,1,1,4
杨庄村民委员会,11,2,0,6
杨庄村民委员会,11,2,0,7
小窑村委会,11,2,0,27
赵赵村委会,11,2,1,19
双楼村委会,11,3,0,22
李士茂村民委员会,11,3,0,23
花王楼村民委员会,11,4,0,13
秦楼村委会,11,5,0,10
曹楼村民委员会,11,5,0,13
祝楼村委会,11,6,0,21
王海三村村委会,11,9,0,23
丁庙村民委员会,12,0,0,22
北街村委会,12,1,0,3
王庄村委会,12,1,0,11
古城村村委会,12,2,1,24
东张楼村委会,12,3,0,19
鹿堂村委会,12,3,0,19
苗庄村民委员会,12,4,1,9
大庄村委会,12,4,1,10
姚付庄村委会,12,5,0,8
宝珠口村委会,12,5,0,9
陈楼村委会,12,5,0,11
晏庄村民委员会,12,5,0,25
晏庄村民委员会,12,5,0,26
高集村民委员会,12,6,0,14
杏花村村民委员会,12,6,0,14
前张口村委会,12,6,0,20
冯桥村民委员会,12,7,0,31
王海二村村委会,12,9,0,24
马集村委会,13,3,0,14
常家社区村民委员会,13,3,1,30
姜城社区村民委员会,13,3,1,30
常家社区村民委员会,13,3,1,30
大徐社区村民委员会,13,3,1,31
华李社区村民委员会,13,3,1,31
大徐社区村民委员会,13,3,1,32
梁南村民委员会,13,4,0,14
梁南村民委员会,13,4,0,14
梁东村民委员会,13,4,0,23
梁东村民委员会,13,4,0,23
苗庄村民委员会,13,4,1,9
杨家社区村民委员会,13,4,1,15
申家村委会,13,4,1,15
袁白庄村民委员会,13,5,0,16
刘海村委会,13,5,0,25
马桥村委会,13,5,1,3
菜园李村民委员会,13,6,0,5
王杨庄村委会,13,6,0,17
双碓村委会,13,6,1,17
南山村委会,13,6,3,22
袁白庄村民委员会,13,7,0,12
四合村委会,13,7,1,28
赵菜园村民委员会,14,0,0,3
赵菜园村民委员会,14,0,0,3
云白常村委会,14,1,1,10
薛庄村委会,14,2,0,1
刁孟庄村委会,14,2,0,18
南张楼村民委员会,14,3,0,20
葵堌堆村委会,14,3,0,26
东街村委会,14,4,0,8
冀庄村委会,14,4,0,17
张堂村委会,14,5,0,26
东方红村村民委员会,14,6,0,13
侯庙村民委员会,14,6,0,13
高集村民委员会,14,6,0,13
杏花村村民委员会,14,6,0,14
大陈楼村委会,14,6,0,22
苟村集村委会,14,7,0,26
姜庄村委会,14,7,0,26
闫楼村民委员会,14,7,1,5
闫楼村民委员会,14,7,1,5
王村村委会,14,8,0,21
碱刘村民委员会,14,8,0,32
黄庄村民委员会,14,8,0,33
