checkname,school,hospital,park,retail
西陈村委会,0,0,0,0
信源村委会,0,0,0,0
会溪村委会,0,0,0,3
江家村委会,0,0,1,0
石门村委会,0,1,1,0
龙上村委会,0,2,1,2
大岭村委会,1,0,0,0
洋山村村民委员会,1,0,0,0
度山村委会,1,0,0,0
金村村村民委员会,1,2,0,0
里畈村委会,1,3,0,2
大桥村委会,2,0,0,0
小溪坑村委会,2,1,0,0
溪口村委会,2,1,1,2
马啸村委会,2,2,0,2
锦源村委会,2,2,0,4
斯村村委会,2,2,1,2
华溪村委会,2,3,0,2
沙岗村委会,2,3,2,8
派塘村委会,3,1,0,0
江东村委会,3,1,0,2
张东村委会,3,1,1,0
溪沿村委会,3,1,1,2
姚村村委会,3,2,0,3
吴村村委会,3,2,0,10
东湖村委会,3,2,1,5
大田村委会,3,2,2,2
横屿头村委会,3,3,0,0
平山社区,3,3,1,3
清塘村委会,3,3,1,4
沙溪村委会,3,4,0,0
杨洪村委会,3,4,0,4
乐平村委会,3,4,0,7
板桥村委会,4,2,0,5
前埠村委会,4,3,0,3
海龙村委会,4,4,1,2
新都村委会,4,4,1,6
大河村委会,4,5,3,10
新溪新村委会,4,6,0,12
统里村委会,4,7,0,14
上洋村委会,5,1,2,3
西山村委会,5,1,3,0
巾山村委会,5,2,0,4
上沈村委会,5,2,2,3
大余村委会,5,3,0,1
余庄村委会,5,4,0,5
霞关村委会,5,4,0,6
下汤村委会,5,6,3,18
新西村委会,6,1,0,3
淞浦村委会,6,1,0,3
前进村委会,6,2,0,0
坦头村委会,6,2,0,1
方家村委会,6,2,0,3
吴岙村委会,6,2,0,5
三里村委会,6,3,0,3
玉屏村委会,6,3,1,5
桂芳桥村委会,6,4,1,9
兴龙村委会,6,6,0,17
周圩社区居委会,6,14,0,22
新村村委会,7,0,0,6
五里村委会,7,2,0,3
大张村委会,7,2,0,10
三王村委会,7,3,1,0
南北庄村委会,7,3,1,16
周云村委会,7,4,1,12
白水湾村委会,7,4,1,20
东港村委会,7,5,0,3
东海村委会,7,5,0,3
陈家宅村委会,7,5,2,4
上柏村委会,7,7,3,11
左溪村委会,8,0,0,7
周村村委会,8,1,1,2
三村村委会,8,1,1,3
篁社村委会,8,2,2,2
松坑村委会,8,3,0,13
新前塘村委会,8,3,1,13
东渡村村民委员会,8,4,0,7
下湾村委会,8,4,0,8
杭垓村委会,8,4,0,13
楼下村委会,8,5,0,3
新上塘村委会,8,5,0,11
莫家桥村委会,8,7,0,2
李家桥村委会,8,7,0,2
永越村村委会,8,7,1,15
尚宅村委会,9,1,1,8
溪东村委会,9,2,0,3
师东村委会,9,2,0,3
五洞闸村委会,9,2,0,3
沿浦村委会,9,3,1,2
五洞闸村委会,9,3,1,28
小团浦村委会,9,3,1,29
青山村委会,9,4,0,16
万圣村委会,9,5,0,2
镇南村委会,9,5,0,2
太湖居委会,9,7,0,9
苏孟村委会,9,8,0,9
潮塘村委会,10,2,0,12
孙方村委会,10,2,0,12
毛三斢村委会,10,2,0,12
破山村委会,10,2,0,12
腰塘村委会,10,2,0,12
石堰村委会,10,2,0,12
埋马村委会,10,2,0,12
秦堰村委会,10,2,0,12
宏兴村委会,10,2,0,12
沧北村委会,10,2,0,12
城中村委会,10,2,0,12
