village_name,school,hospital,park,retail
西陈村委会,0,0,0,0
赵家河村村民委员会,0,0,0,0
姚家港村村民委员会,0,0,0,0
信源村委会,0,0,0,0
河口村村民委员会,0,0,0,0
下江城村村民委员会,0,0,0,0
大岭村委会,1,0,0,0
文峰村委会,1,0,0,0
洋山村村民委员会,1,0,0,0
谭程村委会,1,0,0,0
度山村委会,1,0,0,0
金竹村委会,2,0,0,0
和平村委会,2,0,0,0
石步村委会,2,0,0,0
石步村委会,2,0,0,0
大维村民委员会,2,0,0,0
大桥村委会,2,0,0,0
佟二堡村民委员会,3,0,0,0
大道村民委员会,4,0,0,0
望京洲村村民委员会,4,0,0,0
马家庄村委会,7,0,0,0
八里屯村委会,0,1,0,0
白鹤村委会,1,1,0,0
小沙村委会,1,1,0,0
小溪坑村委会,2,1,0,0
马栅村委会,2,1,0,0
马栅村委会,2,1,0,0
派塘村委会,3,1,0,0
新华村民委员会,3,1,0,0
细吴社区居民委员会,3,1,0,0
细吴社区居民委员会,3,1,0,0
白马村村委会,6,1,0,0
石头口村民委员会,8,1,0,0
北张村村委会,9,1,0,0
大岭村委会,0,2,0,0
金村村村民委员会,1,2,0,0
孙庄村委会,4,2,0,0
常庙北街村委会,4,2,0,0
丁张庄村委会,4,2,0,0
常庙北街村委会,4,2,0,0
郭洼村委会,4,2,0,0
孙庄村委会,4,2,0,0
前进村委会,6,2,0,0
南空城村委会,11,2,0,0
昙华寺村村民委员会,1,3,0,0
另胡村委会,3,3,0,0
横屿头村委会,3,3,0,0
沙溪村委会,3,4,0,0
桥西村民委员会,12,4,0,0
江家村委会,0,0,1,0
联盟村委会,1,0,1,0
枣行村民委员会,1,0,1,0
三社村委会,4,0,1,0
陈井村委会,4,0,1,0
仑上村委会,4,0,1,0
石门村委会,0,1,1,0
张东村委会,3,1,1,0
三王村委会,7,3,1,0
西山村委会,5,1,3,0
江南村委会,1,0,0,1
上村村委会,2,0,0,1
新华村委会,2,0,0,1
西甄庄村委会,3,0,0,1
杨桥村委会,3,0,0,1
黎村村委会,3,0,0,1
向阳村委会,3,0,0,1
阳星村委会,4,0,0,1
李果庄村委会,8,0,0,1
垂杨村委会,16,0,0,1
