,Unnamed: 0,coordinate,address,county,village_name,province,product,year,Checked,village_type,e_name,latitude,longitude
0,0,"21.951991,100.442130",云南省西双版纳傣族自治州勐海县勐海镇,勐海县,勐海镇,云南,,,0,3,Menghai Village,21.951991,100.44213
1,1,"43.647511,127.723430",吉林省吉林市蛟河市黄松甸镇黄松甸村,蛟河市,黄松甸村,吉林,,,0,3,Huangsongdian Village,43.647511,127.72343000000001
2,2,"34.465692,116.430661",安徽省宿州市砀山县砀城镇西南门村委会,砀山县,西南门村,安徽,,,0,3,Xinanmen Village,34.465692,116.43066100000001
3,3,"25.658121,114.827720",江西省赣州市南康区东山街道文峰村委会,赣州市,文峰村,江西,,,0,3,Wenfeng Village,25.658120999999998,114.82772
4,4,"25.670922,114.729461",江西省赣州市南康区蓉江街道叶坑村委会,赣州市,叶坑村,江西,,,0,3,Yeken Village,25.670922,114.72946100000001
5,5,"25.681541,114.816770",江西省赣州市南康区龙岭镇秀峰村委会,赣州市,秀峰村,江西,,,0,3,Xiufeng Village,25.681541,114.81676999999999
6,6,"38.383881,114.551051",河北省石家庄市行唐县安香乡东安香村委会,行唐县,东安香村,河北,,,0,3,Donganxiang Village,38.383881,114.551051
7,7,"37.994651,115.954940",河北省衡水市武强县豆村乡豆村村委会,武强县,豆村村,河北,,,0,3,Doucun Village,37.994651,115.95494
8,8,"37.984181,116.015410",河北省衡水市武邑县韩庄镇大赵村村委会,武邑县,大赵村,河北,,,0,3,Dazhao Village,37.984181,116.01541
9,9,"37.055653,115.083451",河北省邢台市平乡县中华路街道梁里马村委会,平乡县,梁里马村,河北,,,0,3,Lianglima Village,37.055653,115.083451
10,10,"37.050661,115.097721",河北省邢台市平乡县中华路街道田禾村委会,平乡县,田禾村,河北,,,0,3,Tianhe Village,37.050661,115.09772099999999
11,11,"36.971951,115.086830",河北省邢台市平乡县河古庙镇东马延村委会,平乡县,东马延村,河北,,,0,3,Dongmayan Village,36.971951000000004,115.08683
12,12,"37.024153,115.081061",河北省邢台市平乡县河古庙镇董家庄村委会,平乡县,董家庄村,河北,,,0,3,Dongjiazhuang Village,37.024153000000005,115.081061
13,13,"37.004191,115.008060",河北省邢台市平乡县田付村乡艾村村委会,平乡县,艾村,河北,,,0,3,Aicun Village,37.004191,115.00806000000001
14,14,"37.012366,115.033099",河北省邢台市平乡县田付村乡郑周天村委会,平乡县,郑周天村,河北,,,0,3,Zhengzhoutian Village,37.012366,115.03309899999999
15,15,"37.095190,114.976662",河北省邢台市平乡县节固乡节固村委会,平乡县,节固村,河北,,,0,3,Jiegu Village,37.09519,114.976662
16,16,"36.949221,115.144490",河北省邢台市广宗县冯家寨镇高三洲村委会,广宗县,高三洲村,河北,,,0,3,Gaosanzhou Village,36.949221,115.14448999999999
17,17,"36.949221,115.144490",河北省邢台市广宗县广宗镇五里庄村委会,广宗县,五里庄村,河北,,,0,3,Wulizhuang Village,36.949221,115.14448999999999
18,18,"35.402061,114.768470",河南省安阳市滑县万古镇把里村民委员会,滑县,把里村,河南,,,0,3,Bali Village,35.402060999999996,114.76847
19,19,"35.383351,114.679761",河南省安阳市滑县慈周寨镇孙白社村民委员会,滑县,孙白社村,河南,,,0,3,Sunbaishe Village,35.383351,114.67976100000001
20,20,"35.390522,114.729221",河南省安阳市滑县高平镇河门头村民委员会,滑县,河门头村,河南,,,0,3,Hementou Village,35.390522,114.729221
21,21,"34.982881,115.107220",河南省开封市兰考县孟寨乡孙营西村委会,兰考县,孙营西村,河南,,,0,3,Sunyingxi Village,34.982881,115.10722
22,22,"34.857322,115.031051",河南省开封市兰考县考城镇南孙庄村委会,兰考县,南孙庄村,河南,,,0,3,Nansunzhuang Village,34.857321999999996,115.031051
23,23,"34.882811,115.175490",河南省开封市兰考县许河乡杨桥村委会,兰考县,杨桥村,河南,,,0,3,Yangqiao Village,34.882811,115.17549
24,24,"30.736681,115.687790",湖北省黄冈市英山县温泉镇莲花村民委员会,英山县,莲花村,湖北,,,0,3,Lianhua Village,30.736681,115.68778999999999
25,25,"31.441382,115.124671",湖北省黄冈市麻城市铁门岗乡玉皇阁村委会,麻城市,玉皇阁村,湖北,,,0,3,Yuhuangge Village,31.441382,115.12467099999999
26,26,"28.688932,113.583321",湖南省岳阳市平江县汉昌镇天岳村民委员会,平江县,天岳村,湖北,,,0,3,Tianyue Village,28.688932,113.583321
27,27,"36.817181,104.367660",甘肃省白银市景泰县中泉镇尾泉村委会,景泰县,尾泉村,甘肃,,,0,3,Weiquan Village,36.817181,104.36766
28,28,"26.615451,100.179080",云南省大理白族自治州鹤庆县新华村,鹤庆县,新华村,云南,银器,,1,1,Xinhua Village,26.615451,100.17908
29,29,"32.481272,113.416361",南阳市镇平县石佛寺镇石佛寺村,镇平县,石佛寺村,河南,玉石,,1,3,Shifosi Village,32.481272,113.41636100000001
30,30,"37.104573,118.135691",山东省滨州市博兴县锦秋街道湾头村,博兴县,湾头村,山东,,,1,2,Wantou Village,37.104572999999995,118.135691
31,31,"34.693871,115.626291",山东省菏泽市曹县大集镇丁楼村,曹县,丁楼村,山东,,,1,2,Dinglou Village,34.693871,115.626291
32,32,"23.605914,116.302666",广东省揭阳市揭东区锡场镇军埔村,揭阳市,军埔村,广东,,,1,2,Junpu Village,23.605914000000002,116.30266599999999
33,33,"34.164251,118.663850",江苏省宿迁市沭阳县新河镇周圈村,沭阳县,周圈村,江苏,,,1,2,Zhouquan Village,34.164251,118.66385
34,34,"33.887400,118.146704",江苏省徐州市睢宁县沙集镇,睢宁县,沙集镇,江苏,,,1,2,Shaji Village,33.8874,118.146704
35,35,"38.401771,116.019461",河北省沧州市肃宁县喝杯留善寺西乾泊村,肃宁县,西乾泊村,河北,,,1,2,Xiqianbo Village,38.401771000000004,116.019461
36,36,"33.042093,112.153691",河南省南阳市镇平县罗营村,南阳市,罗营村,河南,玉石,,1,1,Luoyin Village,33.042093,112.153691
37,37,"33.084681,112.164490",河南省南阳市镇平县老毕庄村,南阳市,老毕庄村,河南,玉石,,1,1,Laobizhuang Village,33.084680999999996,112.16448999999999
38,38,"34.930281,114.943701",河南省开封市兰考县固阳镇范场村,兰考县,范场村,河南,民族乐器,,1,1,Fanchang Village,34.930281,114.943701
39,39,"34.613542,112.843571",河南省洛阳市偃师市石佛镇贺庄村,偃师市,贺庄村,河南,玉石,,1,1,Hezhuang Village,34.613541999999995,112.843571
40,40,"34.613542,112.843571",河南省洛阳市偃师市马屯村 ,偃师市,马屯村 ,河南,大鼓,,1,1,Matun Village,34.613541999999995,112.843571
41,41,"34.746391,112.589760",河南省洛阳市孟津县平乐镇,孟津县,平乐镇,河南,牡丹画,,1,1,Pingle Village,34.746390999999996,112.58976000000001
43,43,"34.752141,112.491841",河南省洛阳市孟津县朝阳村南石山村,洛阳市,南石山村,河南,唐三彩,,1,1,Nanshishan Village,34.752140999999995,112.491841
44,44,"34.097381,113.649320",河南省许昌市建安区灵井镇郭店村,许昌市,郭店村,河南,社火道具,,1,1,Guodian Village,34.097381,113.64931999999999
45,45,"34.096431,113.637290",河南省许昌市建安区灵井镇霍庄村 ,许昌市,霍庄村 ,河南,社火道具,,1,1,Huozhuang Village,34.096431,113.63729
46,46,"30.181103,119.170511",浙江省杭州市临安区昌化镇白牛村,杭州市,白牛村,浙江,,,1,2,Baitou Village,30.181103000000004,119.170511
47,47,"29.436022,119.923301",浙江省金华市浦江县浦南街道石埠头村,浦江县,石埠头村,浙江,,,1,2,Shifutou Village,29.436021999999998,119.923301
48,48,"32.888143,110.311141",湖北省十堰市郧西县涧池乡下营村,郧西县,下营村,湖北,,,1,3,Xiayin Village,32.888143,110.31114099999999
