,checkname,school,hospital,park,retail
1100,塔桥村村委会,31,15,7,103
1245,陈桥村村委会,296,39,25,231
1246,路口村村委会,50,23,6,105
1247,北门村村委会,279,39,25,224
1248,塘外村村委会,59,25,6,98
1249,洪庙村村委会,74,25,4,108
1250,红旗村村委会,137,20,12,184
1251,冯家村村委会,16,16,2,45
1252,戴家村村委会,37,19,3,61
1253,二桥村村委会,9,13,3,40
1254,蔡家桥村村委会,9,11,3,37
1255,东新市村村委会,10,8,2,36
1256,北宋村村委会,198,33,8,260
1257,姚家村村委会,22,22,7,83
1258,岳和村村委会,30,19,7,83
1259,北唐村村委会,23,17,7,83
1260,工农村村委会,205,26,15,220
1261,解放村村委会,28,17,6,109
1493,陈西村村委会,23,11,0,34
1494,裕丰村村委会,29,14,1,30
3255,张庄村村委会,98,21,5,84
