,village_name,school,hospital,clinic,park,retail,plaza,mobile,unicom,e_name,latitude,longitude
0,勐海镇,36,19,44,1,84,1,3,1,Menghai Village,21.951991,100.44213
1,黄松甸村,6,1,2,0,7,0,1,1,Huangsongdian Village,43.647511,127.72343
2,西南门村,18,4,14,1,26,0,3,2,Xinanmen Village,34.465692,116.430661
3,文峰村,155,22,85,1,127,1,6,5,Wenfeng Village,25.658121,114.82772
4,叶坑村,452,67,263,11,320,7,24,13,Yeken Village,25.670922,114.729461
5,秀峰村,214,27,129,6,189,3,8,6,Xiufeng Village,25.681541,114.81677
6,东安香村,21,5,7,0,9,0,4,3,Donganxiang Village,38.383881,114.551051
7,豆村村,10,1,1,0,7,0,1,1,Doucun Village,37.994651,115.95494
8,大赵村,9,1,0,0,8,0,1,1,Dazhao Village,37.984181,116.01541
9,梁里马村,115,17,34,6,68,4,6,7,Lianglima Village,37.055653,115.083451
10,田禾村,88,11,32,4,56,1,2,6,Tianhe Village,37.050661,115.097721
11,东马延村,35,5,14,1,32,0,4,2,Dongmayan Village,36.971951,115.08683
12,董家庄村,11,1,7,1,11,1,1,2,Dongjiazhuang Village,37.02415300000001,115.081061
13,艾村,21,2,12,0,10,0,2,2,Aicun Village,37.004191,115.00806
14,郑周天村,20,3,13,0,9,0,1,1,Zhengzhoutian Village,37.012366,115.033099
15,节固村,57,11,16,2,36,2,4,3,Jiegu Village,37.09519,114.976662
16,高三洲村,15,1,1,0,9,0,0,0,Gaosanzhou Village,36.949221,115.14449
17,五里庄村,15,1,1,0,9,0,0,0,Wulizhuang Village,36.949221,115.14449
18,把里村,20,5,12,0,12,2,4,2,Bali Village,35.402061,114.76847
19,孙白社村,24,4,8,0,14,1,2,1,Sunbaishe Village,35.383351,114.679761
20,河门头村,17,5,11,0,15,1,2,2,Hementou Village,35.390522,114.729221
21,孙营西村,28,8,10,0,25,1,1,1,Sunyingxi Village,34.982881,115.10722
22,南孙庄村,22,5,3,0,15,0,2,0,Nansunzhuang Village,34.857322,115.031051
23,杨桥村,18,6,4,0,14,0,4,1,Yangqiao Village,34.882811,115.17549
24,莲花村,77,12,44,2,89,1,8,5,Lianhua Village,30.736681,115.68779
25,玉皇阁村,2,0,0,0,2,0,0,0,Yuhuangge Village,31.441382,115.124671
26,天岳村,188,28,115,1,170,4,16,5,Tianyue Village,28.688932,113.583321
27,尾泉村,0,0,0,0,0,0,0,0,Weiquan Village,36.817181,104.36766
28,新华村,4,0,1,0,2,0,0,0,Xinhua Village,26.615451,100.17908
29,石佛寺村,3,1,1,0,2,0,1,1,Shifosi Village,32.481272,113.416361
30,湾头村,31,16,11,6,22,4,4,3,Wantou Village,37.104573,118.135691
31,丁楼村,26,6,6,0,23,0,1,1,Dinglou Village,34.693871,115.626291
32,军埔村,146,10,42,5,117,4,9,6,Junpu Village,23.605914,116.302666
33,周圈村,17,8,10,1,34,0,3,1,Zhouquan Village,34.164251,118.66385
34,沙集镇,42,18,21,4,92,1,10,4,Shaji Village,33.8874,118.146704
35,西乾泊村,20,4,8,0,13,0,5,2,Xiqianbo Village,38.401771,116.019461
36,罗营村,48,10,21,1,34,3,4,1,Luoyin Village,33.042093,112.153691
37,老毕庄村,65,12,43,4,42,4,4,2,Laobizhuang Village,33.084681,112.16449
38,范场村,40,6,5,0,38,1,0,0,Fanchang Village,34.930281,114.943701
39,贺庄村,17,3,7,1,15,0,4,2,Hezhuang Village,34.613541999999995,112.843571
40,马屯村 ,16,3,7,1,16,0,4,2,Matun Village,34.613541999999995,112.843571
41,平乐镇,38,5,13,1,28,6,3,4,Pingle Village,34.746391,112.58976
42,南石山村,24,2,7,2,13,0,2,2,Nanshishan Village,34.752140999999995,112.491841
43,郭店村,31,1,5,0,21,1,3,3,Guodian Village,34.097381,113.64932
44,霍庄村 ,21,1,2,0,19,0,1,4,Huozhuang Village,34.096431,113.63729
45,白牛村,20,8,20,2,30,0,4,2,Baitou Village,30.181103000000004,119.170511
46,石埠头村,252,49,134,6,252,3,13,5,Shifutou Village,29.436022,119.923301
47,下营村,2,1,1,0,2,0,1,1,Xiayin Village,32.888143,110.311141
