,Unnamed: 0,Unnamed: 0.1,coordinate,address,county,village_name,province,product,year,Checked,village_type,e_name,latitude,longitude,bbox,x1,y1,x2,y2
0,0,0,"21.951991,100.442130",云南省西双版纳傣族自治州勐海县勐海镇,勐海县,勐海镇,云南,,,0,3,Menghai Village,21.951991,100.44213,"[[21.96223229, 100.38562396], [21.94174971, 100.49863604]]",21.96223229,100.38562396,21.94174971,100.49863604
1,1,1,"43.647511,127.723430",吉林省吉林市蛟河市黄松甸镇黄松甸村,蛟河市,黄松甸村,吉林,,,0,3,Huangsongdian Village,43.647511,127.72343,"[[43.68208425, 127.66692396], [43.61293775, 127.77993604]]",43.68208425,127.66692396,43.61293775,127.77993604
2,2,2,"34.465692,116.430661",安徽省宿州市砀山县砀城镇西南门村委会,砀山县,西南门村,安徽,,,0,3,Xinanmen Village,34.465692,116.430661,"[[34.49084366, 116.37415496], [34.44054034, 116.48716704]]",34.49084366,116.37415496,34.44054034,116.48716704
3,3,3,"25.658121,114.827720",江西省赣州市南康区东山街道文峰村委会,赣州市,文峰村,江西,,,0,3,Wenfeng Village,25.658121,114.82772,"[[25.68184739, 114.77121396], [25.63439461, 114.88422604]]",25.68184739,114.77121396,25.63439461,114.88422604
4,4,4,"25.670922,114.729461",江西省赣州市南康区蓉江街道叶坑村委会,赣州市,叶坑村,江西,,,0,3,Yeken Village,25.670922,114.729461,"[[25.69456041, 114.67295496], [25.64728359, 114.78596704]]",25.69456041,114.67295496,25.64728359,114.78596704
5,5,5,"25.681541,114.816770",江西省赣州市南康区龙岭镇秀峰村委会,赣州市,秀峰村,江西,,,0,3,Xiufeng Village,25.681541,114.81677,"[[25.70525759, 114.76026396], [25.65782441, 114.87327604]]",25.70525759,114.76026396,25.65782441,114.87327604
6,6,6,"38.383881,114.551051",河北省石家庄市行唐县安香乡东安香村委会,行唐县,东安香村,河北,,,0,3,Donganxiang Village,38.383881,114.551051,"[[38.40735948, 114.49454496], [38.36040252, 114.60755704]]",38.40735948,114.49454496,38.36040252,114.60755704
7,7,7,"37.994651,115.954940",河北省衡水市武强县豆村乡豆村村委会,武强县,豆村村,河北,,,0,3,Doucun Village,37.994651,115.95494,"[[38.01938167, 115.89843396], [37.96992033, 116.01144604]]",38.01938167,115.89843396,37.96992033,116.01144604
8,8,8,"37.984181,116.015410",河北省衡水市武邑县韩庄镇大赵村村委会,武邑县,大赵村,河北,,,0,3,Dazhao Village,37.984181,116.01541,"[[38.00896528, 115.95890396], [37.95939672, 116.07191604]]",38.00896528,115.95890396,37.95939672,116.07191604
9,9,9,"37.055653,115.083451",河北省邢台市平乡县中华路街道梁里马村委会,平乡县,梁里马村,河北,,,0,3,Lianglima Village,37.055653,115.083451,"[[37.07960805, 115.02694496], [37.03169795, 115.13995704]]",37.07960805,115.02694496,37.03169795,115.13995704
10,10,10,"37.050661,115.097721",河北省邢台市平乡县中华路街道田禾村委会,平乡县,田禾村,河北,,,0,3,Tianhe Village,37.050661,115.097721,"[[37.0746288, 115.04121496], [37.0266932, 115.15422704]]",37.0746288,115.04121496,37.0266932,115.15422704
11,11,11,"36.971951,115.086830",河北省邢台市平乡县河古庙镇东马延村委会,平乡县,东马延村,河北,,,0,3,Dongmayan Village,36.971951,115.08683,"[[36.99590907, 115.03032396], [36.94799293, 115.14333604]]",36.99590907,115.03032396,36.94799293,115.14333604
12,12,12,"37.024153,115.081061",河北省邢台市平乡县河古庙镇董家庄村委会,平乡县,董家庄村,河北,,,0,3,Dongjiazhuang Village,37.02415300000001,115.081061,"[[37.04810592, 115.02455496], [37.00020008, 115.13756704]]",37.04810592,115.02455496,37.00020008,115.13756704
13,13,13,"37.004191,115.008060",河北省邢台市平乡县田付村乡艾村村委会,平乡县,艾村,河北,,,0,3,Aicun Village,37.004191,115.00806,"[[37.02807869, 114.95155396], [36.98030331, 115.06456604]]",37.02807869,114.95155396,36.98030331,115.06456604
14,14,14,"37.012366,115.033099",河北省邢台市平乡县田付村乡郑周天村委会,平乡县,郑周天村,河北,,,0,3,Zhengzhoutian Village,37.012366,115.033099,"[[37.03627607, 114.97659296], [36.98845593, 115.08960504]]",37.03627607,114.97659296,36.98845593,115.08960504
15,15,15,"37.095190,114.976662",河北省邢台市平乡县节固乡节固村委会,平乡县,节固村,河北,,,0,3,Jiegu Village,37.09519,114.976662,"[[37.11904962, 114.92015596], [37.07133038, 115.03316804]]",37.11904962,114.92015596,37.07133038,115.03316804
16,16,16,"36.949221,115.144490",河北省邢台市广宗县冯家寨镇高三洲村委会,广宗县,高三洲村,河北,,,0,3,Gaosanzhou Village,36.949221,115.14449,"[[36.97323056, 115.08798396], [36.92521144, 115.20099604]]",36.97323056,115.08798396,36.92521144,115.20099604
17,17,17,"36.949221,115.144490",河北省邢台市广宗县广宗镇五里庄村委会,广宗县,五里庄村,河北,,,0,3,Wulizhuang Village,36.949221,115.14449,"[[36.97323056, 115.08798396], [36.92521144, 115.20099604]]",36.97323056,115.08798396,36.92521144,115.20099604
18,18,18,"35.402061,114.768470",河南省安阳市滑县万古镇把里村民委员会,滑县,把里村,河南,,,0,3,Bali Village,35.402061,114.76847,"[[35.42573435, 114.71196396], [35.37838765, 114.82497604]]",35.42573435,114.71196396,35.37838765,114.82497604
19,19,19,"35.383351,114.679761",河南省安阳市滑县慈周寨镇孙白社村民委员会,滑县,孙白社村,河南,,,0,3,Sunbaishe Village,35.383351,114.679761,"[[35.40694488, 114.62325496], [35.35975712, 114.73626704]]",35.40694488,114.62325496,35.35975712,114.73626704
20,20,20,"35.390522,114.729221",河南省安阳市滑县高平镇河门头村民委员会,滑县,河门头村,河南,,,0,3,Hementou Village,35.390522,114.729221,"[[35.41416019, 114.67271496], [35.36688381, 114.78572704]]",35.41416019,114.67271496,35.36688381,114.78572704
21,21,21,"34.982881,115.107220",河南省开封市兰考县孟寨乡孙营西村委会,兰考县,孙营西村,河南,,,0,3,Sunyingxi Village,34.982881,115.10722,"[[35.00685728, 115.05071396], [34.95890472, 115.16372604]]",35.00685728,115.05071396,34.95890472,115.16372604
